"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.982582690E-1,-6.273000240E-1,6.354405403E0,6.553130150E0,9.149616828E0
6.002602690E-1,-6.895511150E-1,6.294548512E0,6.440599442E0,9.032061939E0
6.022362690E-1,-8.044763207E-1,6.220325947E0,6.210748672E0,8.826836132E0
6.042382690E-1,-9.241901040E-1,6.146103382E0,6.009629726E0,8.645482264E0
6.062402690E-1,-9.601042271E-1,6.126949310E0,5.918647289E0,8.572729654E0
6.082422690E-1,-1.077423692E0,6.059909344E0,5.736682415E0,8.413849785E0
6.102442690E-1,-1.158828974E0,6.012023926E0,5.595420361E0,8.294338146E0
6.122462690E-1,-1.197137356E0,5.983292580E0,5.530774593E0,8.235435359E0
6.142482690E-1,-1.278542757E0,5.978504181E0,5.427821159E0,8.175477134E0
6.162502690E-1,-1.362342358E0,5.947378635E0,5.351204395E0,8.115582407E0
6.182522690E-1,-1.426987767E0,5.933012962E0,5.324867249E0,8.098836220E0
6.202542690E-1,-1.553884387E0,5.911464691E0,5.284164429E0,8.079750317E0
6.222562690E-1,-1.692752242E0,5.901887417E0,5.217124939E0,8.057051437E0
6.242582690E-1,-1.783734679E0,5.885127544E0,5.217124939E0,8.064417415E0
6.262602690E-1,-1.963305354E0,5.870761871E0,5.197970390E0,8.083273411E0
6.282622690E-1,-2.138087511E0,5.846818924E0,5.185999393E0,8.102548947E0
6.302642690E-1,-2.231464148E0,5.825270653E0,5.205153465E0,8.124458937E0
6.322662690E-1,-2.415823221E0,5.763019562E0,5.265010357E0,8.171225757E0
6.342682690E-1,-2.597788095E0,5.703162670E0,5.315289974E0,8.217473757E0
6.362702690E-1,-2.667222023E0,5.672037125E0,5.360781193E0,8.247669578E0
6.382722690E-1,-2.832427025E0,5.607391834E0,5.442186832E0,8.311611369E0
